date,price
12/30/2019,61.9473
12/27/2019,62.0219
12/26/2019,62.2236
12/25/2019,61.8335
12/24/2019,61.9749
12/23/2019,62.2618
12/20/2019,62.3509
12/19/2019,62.3702
12/18/2019,62.5678
12/17/2019,62.4263
12/16/2019,62.4196
12/13/2019,62.874
12/12/2019,62.7716
12/11/2019,63.6096
12/10/2019,63.5232
12/9/2019,63.6842
12/6/2019,63.7022
12/5/2019,63.8528
12/4/2019,63.899
12/3/2019,64.2376
12/2/2019,64.2258
11/29/2019,64.2847
11/28/2019,64.0816
11/27/2019,64.0293
11/26/2019,64.0695
11/25/2019,64.0018
11/22/2019,63.8017
11/21/2019,63.7213
11/20/2019,63.867
11/19/2019,63.8378
11/18/2019,63.8436
11/15/2019,63.7861
11/14/2019,64.0672
11/13/2019,64.2791
11/12/2019,64.1447
11/11/2019,63.8623
11/8/2019,63.795
11/7/2019,63.7349
11/6/2019,63.8195
11/5/2019,63.6201
11/1/2019,63.4266
10/31/2019,64.0699
10/30/2019,64.0461
10/29/2019,63.8533
10/28/2019,63.7421
10/25/2019,63.6918
10/24/2019,64.1142
10/23/2019,63.8332
10/22/2019,63.6145
10/21/2019,63.7168
10/18/2019,63.9894
10/17/2019,63.9739
10/16/2019,64.1611
10/15/2019,64.2634
10/14/2019,64.3206
10/11/2019,64.1608
10/10/2019,64.4168
10/9/2019,64.871
10/8/2019,65.2978
10/7/2019,64.8827
10/4/2019,64.6675
10/3/2019,65.2565
10/2/2019,65.2076
10/1/2019,65.3761
9/30/2019,64.8788
9/27/2019,64.4663
9/26/2019,64.2446
9/25/2019,64.2205
9/24/2019,63.8606
9/23/2019,63.8867
9/20/2019,63.9568
9/19/2019,63.888
9/18/2019,64.2417
9/17/2019,64.3238
9/16/2019,63.955
9/13/2019,64.2443
9/12/2019,64.8073
9/11/2019,65.5088
9/10/2019,65.3397
9/9/2019,65.5042
9/6/2019,65.7426
9/5/2019,66.0939
9/4/2019,66.1248
9/3/2019,67.0457
9/2/2019,66.7236
8/30/2019,66.741
8/29/2019,66.5435
8/28/2019,66.5829
8/27/2019,66.5625
8/26/2019,66.0284
8/23/2019,66.08
8/22/2019,65.7025
8/21/2019,65.799
8/20/2019,66.583
8/19/2019,66.8683
8/16/2019,66.4493
8/15/2019,66.1626
8/14/2019,65.947
8/13/2019,65.0535
8/12/2019,65.4797
8/9/2019,65.466
8/8/2019,65.157
8/7/2019,65.5823
8/6/2019,65.3007
8/5/2019,65.082
8/2/2019,65.1608
8/1/2019,63.8614
7/31/2019,63.4543
7/30/2019,63.6775
7/29/2019,63.4945
7/26/2019,63.45
7/25/2019,63.1726
7/24/2019,63.0906
7/23/2019,63.2408
7/22/2019,63.0491
7/19/2019,62.9855
7/18/2019,63.076
7/17/2019,62.7735
7/16/2019,62.8154
7/15/2019,62.6273
7/12/2019,63.0461
7/11/2019,62.822
7/10/2019,63.1717
7/9/2019,63.7482
7/8/2019,63.532
7/5/2019,63.8566
7/4/2019,63.4444
7/3/2019,63.4744
7/2/2019,63.3036
7/1/2019,62.9637
6/28/2019,63.1141
6/27/2019,63.0843
6/26/2019,63.0471
6/25/2019,62.8268
6/24/2019,62.7437
6/21/2019,63.2605
6/20/2019,62.9542
6/19/2019,63.8572
6/18/2019,64.0063
6/17/2019,64.238
6/14/2019,64.3476
6/13/2019,64.5108
6/11/2019,64.5309
6/10/2019,64.683
6/7/2019,64.8506
6/6/2019,65.1177
6/5/2019,65.3041
6/4/2019,65.2016
6/3/2019,65.3872
5/31/2019,65.2353
5/30/2019,65.1219
5/29/2019,65.2092
5/28/2019,64.6768
5/27/2019,64.3911
5/24/2019,64.5071
5/23/2019,64.6785
5/22/2019,64.2991
5/21/2019,64.4398
5/20/2019,64.4893
5/17/2019,64.7144
5/16/2019,64.464
5/15/2019,64.5313
5/14/2019,65.0168
5/13/2019,65.4496
5/10/2019,65.27
5/8/2019,65.0057
5/7/2019,65.2792
5/6/2019,65.2446
5/3/2019,65.1284
5/2/2019,65.5263
4/30/2019,64.5824
4/29/2019,64.5079
4/26/2019,64.7653
4/25/2019,64.7483
4/24/2019,64.2779
4/23/2019,63.7948
4/22/2019,63.8334
4/19/2019,64.0601
4/18/2019,63.9089
4/17/2019,63.9315
4/16/2019,64.2323
4/15/2019,64.2963
4/12/2019,64.3327
4/11/2019,64.5503
4/10/2019,64.3423
4/9/2019,64.8597
4/8/2019,65.0304
4/5/2019,65.2994
4/4/2019,65.4737
4/3/2019,65.1559
4/2/2019,65.4745
4/1/2019,65.4085
3/29/2019,65.6568
3/28/2019,65.0338
3/27/2019,64.9098
3/26/2019,64.3545
3/25/2019,64.0535
3/22/2019,64.715
3/21/2019,63.8304
3/20/2019,64.3329
3/19/2019,64.3915
3/18/2019,64.4841
3/15/2019,65.1951
3/14/2019,65.5063
3/13/2019,65.4505
3/12/2019,65.7081
3/11/2019,66.0169
3/7/2019,66.1418
3/6/2019,65.9398
3/5/2019,65.8317
3/4/2019,65.7177
3/1/2019,65.7454
2/28/2019,65.886
2/27/2019,65.8778
2/26/2019,65.8528
2/25/2019,65.4028
2/22/2019,65.4186
2/21/2019,65.47
2/20/2019,65.6159
2/19/2019,65.991
2/18/2019,66.1715
2/15/2019,66.6203
2/14/2019,67.0418
2/13/2019,65.7607
2/12/2019,65.6578
2/11/2019,65.8249
2/8/2019,65.7226
2/7/2019,65.8815
2/6/2019,65.8043
2/5/2019,65.5873
2/4/2019,65.6372
2/1/2019,65.5856
1/31/2019,65.3962
1/30/2019,65.9968
1/29/2019,66.061
1/28/2019,66.1838
1/25/2019,66.0223
1/24/2019,65.8256
1/23/2019,66.1495
1/22/2019,66.4824
1/21/2019,66.3953
1/18/2019,66.2386
1/17/2019,66.6395
1/16/2019,66.5183
1/15/2019,66.9418
1/14/2019,67.009
1/11/2019,67.0339
1/10/2019,67.1275
1/9/2019,66.9748
1/8/2019,67.0412
1/4/2019,67.8064
1/3/2019,68.8594
